zip,county,urbanicity,college,employment,poverty,income,ADI
00501,36103,1,0.34193840579710144,0.6836450457620374,0.043865225683407505,106215,24.5
01001,25013,1,0.45882903007948467,0.6324494002998501,0.07766716375801055,76688.28810555337,45.23202704476829
01002,25015,0.9186576946604912,0.706913226817285,0.5352134591072644,0.16273720529039679,59078.917469195134,15.436103877188382
01003,25015,1,0.7033470456245325,0.477765333684696,0.22014803526722543,36512.66285819026,15.09137339361724
01004,25015,1,0.7107887579329103,0.6020771973337468,0.31161429451632777,40974,27.666666666666668
01005,25027,0,0.46727924697445095,0.6437406296851574,0.09287152637937979,94678.91441691077,32.69754967936031
01008,25013,0.4296304371525128,0.43300723096554655,0.6032010243277849,0.05474774179334655,87008.15196773139,8.836912678513027
01009,25013,1,0.36848008973639934,0.6137381781981085,0.12087441063009001,65294,51
01010,25013,0.5861827983826686,0.3925734986763272,0.615973336625108,0.09021913952553277,71886.63984425698,44.72577746717916
01011,25013,0,0.4805739514348786,0.6031620553359683,0.06623750635270202,78384.73359269282,20.06072395128552
01013,25013,1,0.30734516028633674,0.5873083024854574,0.13216134598792062,57021.4345895191,57.033242749792045
01014,25013,1,0.22744503411675512,0.5673017824216349,0.3358624178047547,33209,64
01020,25013,1,0.325030986248008,0.557520782272532,0.1344566638797779,56380.67356731851,54.497065984386836
01021,25013,1,0.2905861456483126,0.5025703054127608,0.13224771773994573,44510,57.333333333333336
01022,25013,1,0.3549989650175947,0.5381153563556209,0.15158463680288264,57696.215732339595,52.518227478937135
01026,25015,0.4898919670553,0.5457770500750443,0.6741311796377876,0.05902517407605785,85510.40603273077,19.894213284843296
01027,25015,1,0.5504109039887753,0.6012678288431061,0.07786375360339857,80778.21120844834,31.37685007400296
01028,25013,1,0.4927354950447417,0.6069481425129961,0.11026116259477675,83579.9106032544,41.165657935353
01029,25003,0,0.4174454828660436,0.5852955309947141,0.03831084022638224,88571,34.333333333333336
01030,25013,1,0.44627771911298836,0.648972806080038,0.06445579091046964,84999.86696285944,39.852386182108624
01031,25027,1,0.3313953488372093,0.5770804911323328,0.1628162816281628,58151.08139852499,51.953610124738226
01033,25015,1,0.5261365125114634,0.6049633389734913,0.08125773706362961,84750.88929529383,38.75857108022433
01035,25015,1,0.634944612286002,0.5892575039494471,0.03697996918335902,101458,25.75
01036,25013,1,0.5035953384577238,0.575818752803948,0.02485231207985333,99400,29.25
01037,25027,1,0.4113345521023766,0.5639291465378422,0.14454912516823687,78333,44.666666666666664
01038,25015,0,0.5413721413721414,0.658716239915819,0.054901960784313725,76688,30.666666666666668
01039,25015,0.8052977798660872,0.5854967253215497,0.638000537489922,0.08203101610681995,77839.24991189945,22.41739104898391
01040,25013,1,0.3245194823316008,0.517689552062054,0.25623087013554874,47862.36757613012,57.21031854864132
01041,25013,1,0.22813121272365805,0.4198019801980198,0.34703453453453453,33469.42995594714,70.46537444933921
01050,25015,0.3268369547188589,0.4643054176321306,0.6238155709680571,0.07688467299051423,80871.38455796981,18.979018079283463
01053,25015,1,0.6289511494252874,0.4400977995110024,0.09519774011299435,79647,29.5
01054,25011,0.6807518178076554,0.5758561489111774,0.6681671010029219,0.09315785847171501,78128.74372341885,35.337266200210365
01056,25013,1,0.344766485255031,0.5837409992854394,0.08060340535696504,73739.68446555818,40.018788598574815
01057,25013,0.6142571308920013,0.4367844092570037,0.599417934215584,0.07659013925479864,83664.14647992182,35.56348006142106
01059,25015,1,0.7807470391740055,0.6552074513124471,0.2747815607110575,54325,23.8
01060,25015,1,0.68947519357614,0.6050638583912167,0.1170887499437722,76289.54553274682,25.77758227435647
01061,25015,1,0.7961650687786578,0.7616892911010558,0.09197270068248294,82647,27.5
01062,25015,1,0.6094241239168775,0.5930034982508746,0.10101221223612314,74373.86775055295,30.656699125805492
01063,25015,1,0.7416212003117693,0.6056049822064057,0.0857172796814419,77446.09180925222,20.555687579214194
01066,25015,0,0.5413721413721414,0.658716239915819,0.054901960784313725,76688,30.666666666666668
01068,25027,0.5826574079477155,0.42902080980803353,0.6301302703459868,0.0943853427895981,90681.92851724339,37.51693703682091
01069,25013,1,0.39043793929095544,0.5840504099193712,0.0901501047242262,76457.90194899973,42.76368735869036
01070,25015,0,0.4785380365490863,0.6029244926257405,0.08581110625273283,73143.81043686676,41.282111341104695
01072,25011,0,0.6765910953291451,0.6124282505615174,0.07874354561101549,84356,31.666666666666668
01073,25015,1,0.4775623268698061,0.593387330754352,0.051142987480358865,89527.46611021721,30.54098954143202
01074,25027,0,0.44622364558313315,0.6507054296707995,0.1441808747220163,92206,42.25
01075,25015,1,0.5544978008073749,0.6281984826351256,0.06727264338116551,95470.8228964033,20.451823186126404
