sex,race,age,time,zip,total,county,urbanicity,college,employment,poverty,income,ADI
male,white,0-17,1,61563,282,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,white,18-34,1,61563,122,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,white,35-64,1,61563,589,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,white,65-74,1,61563,176,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,white,75+,1,61563,83,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,black,0-17,1,61563,1,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,black,18-34,1,61563,0,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,black,35-64,1,61563,0,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,black,65-74,1,61563,0,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,black,75+,1,61563,0,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,other,0-17,1,61563,0,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,other,18-34,1,61563,0,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,other,35-64,1,61563,3,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,other,65-74,1,61563,3,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
male,other,75+,1,61563,1,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
female,white,0-17,1,61563,133,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
female,white,18-34,1,61563,265,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
female,white,35-64,1,61563,514,17057,1,0.2630372492836676,0.5413306451612904,0.13172384582803898,56204,76.66666666666667
